"Protein ID";"m";"stat";"p"
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000225538"";""ENSP00000225538"")";109;147,402848675793;0,0064
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000225550"";""ENSP00000225550"")";63;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000225655"";""ENSP00000225655"")";68;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000225688"";""ENSP00000225688"")";40;62,3432633117882;0,0066
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000225698"";""ENSP00000225698"")";149;21,6504007010932;0,1338
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000225777"";""ENSP00000225777"")";95;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000225831"";""ENSP00000225831"")";45;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000225842"";""ENSP00000225842"")";64;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000225844"";""ENSP00000225844"")";66;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000225899"";""ENSP00000225899"")";45;15,2228099173554;0,0624
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000225941"";""ENSP00000225941"")";95;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000226004"";""ENSP00000226004"")";189;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000226021"";""ENSP00000226021"")";50;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000226091"";""ENSP00000226091"")";36;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000226193"";""ENSP00000226193"")";95;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000226247"";""ENSP00000226247"")";41;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000226284"";""ENSP00000226284"")";70;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000226355"";""ENSP00000226355"")";45;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000226382"";""ENSP00000226382"")";72;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000226413"";""ENSP00000226413"")";99;15,0226757369615;0,1321
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000226460"";""ENSP00000226460"")";61;6,37690031629425;0,2322
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000226524"";""ENSP00000226524"")";70;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000226730"";""ENSP00000226730"")";94;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000227348"";""ENSP00000227348"")";54;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000227451"";""ENSP00000227451"")";132;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000227471"";""ENSP00000227471"")";61;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000227474"";""ENSP00000227474"")";79;20,6689888504421;0,0727
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000227507"";""ENSP00000227507"")";114;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000227524"";""ENSP00000227524"")";72;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000227638"";""ENSP00000227638"")";176;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000227756"";""ENSP00000227756"")";1424;43,2022234317916;0,5606
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000227918"";""ENSP00000227918"")";36;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000228434"";""ENSP00000228434"")";101;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000228438"";""ENSP00000228438"")";156;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000228476"";""ENSP00000228476"")";151;8,07076446280992;0,2953
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000228506"";""ENSP00000228506"")";50;6,859410430839;0,1871
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000228515"";""ENSP00000228515"")";51;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000228534"";""ENSP00000228534"")";18;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000228567"";""ENSP00000228567"")";295;184,69714465001;0,0178
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000228641"";""ENSP00000228641"")";31;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000228644"";""ENSP00000228644"")";40;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000228741"";""ENSP00000228741"")";262;52,335143634216;0,0876
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000228837"";""ENSP00000228837"")";71;48,3385710274398;0,0213
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000228850"";""ENSP00000228850"")";45;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000228865"";""ENSP00000228865"")";134;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000228887"";""ENSP00000228887"")";86;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000228945"";""ENSP00000228945"")";44;6,25;0,2012
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000229002"";""ENSP00000229002"")";80;13,9142419747556;0,1225
