"GO ID";"m";"stat";"p"
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002063"";""GO:0002063"")";5075;720,653322974201;0,1138
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002064"";""GO:0002064"")";3219;140,33566186597;0,4989
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002076"";""GO:0002076"")";4050;588,031043934365;0,1073
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002082"";""GO:0002082"")";1008;125,7415053637;0,1481
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002084"";""GO:0002084"")";1691;198,35363045684;0,1544
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002087"";""GO:0002087"")";3733;457,369406199576;0,1417
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002088"";""GO:0002088"")";5653;749,792885754756;0,1219
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002089"";""GO:0002089"")";1950;104,401833810739;0,3887
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002090"";""GO:0002090"")";1327;40,5765845651802;0,5458
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002091"";""GO:0002091"")";1537;109,459893539302;0,2779
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002092"";""GO:0002092"")";10916;897,940324859447;0,2833
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002098"";""GO:0002098"")";1989;314,493724727467;0,1024
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002181"";""GO:0002181"")";4340;343,097732925775;0,2801
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002218"";""GO:0002218"")";4423;218,452055839442;0,4763
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002222"";""GO:0002222"")";85;9,87755102040816;0,1527
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002223"";""GO:0002223"")";4302;482,31714281837;0,1597
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002224"";""GO:0002224"")";3351;293,184676630703;0,2255
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002227"";""GO:0002227"")";1662;146,348719498693;0,2349
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002230"";""GO:0002230"")";3496;222,81409973916;0,365
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002244"";""GO:0002244"")";10668;673,766084073239;0,4369
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002250"";""GO:0002250"")";25068;2222,08719294081;0,2788
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002262"";""GO:0002262"")";1313;209,157418409504;0,0987
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002281"";""GO:0002281"")";4947;387,66914685872;0,2888
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002283"";""GO:0002283"")";1127;120,608646388854;0,1718
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002286"";""GO:0002286"")";1813;72,5572157953799;0,492
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002315"";""GO:0002315"")";1869;22,6450700503008;0,8347
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002323"";""GO:0002323"")";1048;49,5101244235439;0,3963
