"Pathway ID";"m";"stat";"p"
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-1482788"";""R-HSA-1482788"")";3976;566,145113135308;0,1198
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-1482801"";""R-HSA-1482801"")";4493;732,811316320833;0,0926
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-1482839"";""R-HSA-1482839"")";3958;570,842042321597;0,1188
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-1482925"";""R-HSA-1482925"")";2682;462,62335298838;0,0917
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-1483115"";""R-HSA-1483115"")";1451;420,674898535836;0,0448
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-1483166"";""R-HSA-1483166"")";7366;1674,87431210603;0,0481
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-1483206"";""R-HSA-1483206"")";21627;3344,52253657262;0,0709
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-1483257"";""R-HSA-1483257"")";40430;5224,99380328014;0,1032
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-381038"";""R-HSA-381038"")";4490;2955,45962200968;0,008
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-381070"";""R-HSA-381070"")";4904;2963,6228873158;0,0106
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-381119"";""R-HSA-381119"")";9554;3510,88239070335;0,0161
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-8943724"";""R-HSA-8943724"")";10228;1882,71137884492;0,0647
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-162587"";""R-HSA-162587"")";22181;1885,57732772943;0,311
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-162588"";""R-HSA-162588"")";4247;500,724435845758;0,1558
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-162599"";""R-HSA-162599"")";20138;1735,1468665665;0,3038
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-162906"";""R-HSA-162906"")";33577;3175,99218385857;0,2439
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-5210891"";""R-HSA-5210891"")";2713;163,649574013115;0,3685
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-5213460"";""R-HSA-5213460"")";2558;145,631539464041;0,3931
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-5218859"";""R-HSA-5218859"")";6853;406,395443381274;0,4457
